[SYS] 2025/04/22 - 06:34:20 | New API  started 
[SYS] 2025/04/22 - 06:34:20 | using MySQL as database 
[SYS] 2025/04/22 - 06:34:21 | database migration started 
[SYS] 2025/04/22 - 06:34:21 | database migrated 
[SYS] 2025/04/22 - 06:34:21 | Redis is enabled 
[SYS] 2025/04/22 - 06:34:21 | memory cache enabled 
[SYS] 2025/04/22 - 06:34:21 | sync frequency: 60 seconds 
[SYS] 2025/04/22 - 06:34:21 | channels synced from database 
[SYS] 2025/04/22 - 06:34:21 | 正在更新数据看板数据... 
[SYS] 2025/04/22 - 06:34:21 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/22 - 06:34:21 | batch update enabled with interval 5s 
[SYS] 2025/04/22 - 06:34:21 | pprof enabled 
[SYS] 2025/04/22 - 06:34:21 | initializing token encoders 
[SYS] 2025/04/22 - 06:34:26 | batch update started 
[SYS] 2025/04/22 - 06:34:26 | batch update finished 
[SYS] 2025/04/22 - 06:34:28 | token encoders initialized 
[SYS] 2025/04/22 - 06:34:28 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/22 - 06:34:31 | batch update started 
[SYS] 2025/04/22 - 06:34:31 | batch update finished 
[SYS] 2025/04/22 - 06:34:36 | batch update started 
[SYS] 2025/04/22 - 06:34:36 | batch update finished 
[SYS] 2025/04/22 - 06:34:36 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:34:36 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:34:41 | batch update started 
[SYS] 2025/04/22 - 06:34:41 | batch update finished 
[SYS] 2025/04/22 - 06:34:44 | batch update started 
[SYS] 2025/04/22 - 06:34:44 | batch update finished 
[SYS] 2025/04/22 - 06:34:49 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:34:49 | batch update started 
[SYS] 2025/04/22 - 06:34:49 | batch update finished 
[SYS] 2025/04/22 - 06:34:49 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:34:54 | batch update started 
[SYS] 2025/04/22 - 06:34:54 | batch update finished 
[SYS] 2025/04/22 - 06:34:59 | batch update started 
[SYS] 2025/04/22 - 06:34:59 | batch update finished 
[SYS] 2025/04/22 - 06:35:04 | batch update started 
[SYS] 2025/04/22 - 06:35:04 | batch update finished 
[SYS] 2025/04/22 - 06:35:04 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:35:04 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:35:09 | batch update started 
[SYS] 2025/04/22 - 06:35:09 | batch update finished 
[SYS] 2025/04/22 - 06:35:11 | batch update started 
[SYS] 2025/04/22 - 06:35:11 | batch update finished 
[SYS] 2025/04/22 - 06:35:16 | syncing channels from database 
[SYS] 2025/04/22 - 06:35:16 | syncing options from database 
[SYS] 2025/04/22 - 06:35:16 | channels synced from database 
[SYS] 2025/04/22 - 06:35:16 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:35:16 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:35:16 | batch update started 
[SYS] 2025/04/22 - 06:35:16 | batch update finished 
[SYS] 2025/04/22 - 06:35:21 | batch update started 
[SYS] 2025/04/22 - 06:35:21 | batch update finished 
[SYS] 2025/04/22 - 06:35:26 | batch update started 
[SYS] 2025/04/22 - 06:35:26 | batch update finished 
[SYS] 2025/04/22 - 06:35:31 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:35:31 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:35:31 | batch update started 
[SYS] 2025/04/22 - 06:35:31 | batch update finished 
[SYS] 2025/04/22 - 06:35:36 | batch update started 
[SYS] 2025/04/22 - 06:35:36 | batch update finished 
[SYS] 2025/04/22 - 06:35:39 | batch update started 
[SYS] 2025/04/22 - 06:35:39 | batch update finished 
[SYS] 2025/04/22 - 06:35:44 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:35:44 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:35:44 | batch update started 
[SYS] 2025/04/22 - 06:35:44 | batch update finished 
[SYS] 2025/04/22 - 06:35:49 | batch update started 
[SYS] 2025/04/22 - 06:35:49 | batch update finished 
[SYS] 2025/04/22 - 06:35:54 | batch update started 
[SYS] 2025/04/22 - 06:35:54 | batch update finished 
[SYS] 2025/04/22 - 06:35:59 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:35:59 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:35:59 | batch update started 
[SYS] 2025/04/22 - 06:35:59 | batch update finished 
[SYS] 2025/04/22 - 06:36:04 | batch update started 
[SYS] 2025/04/22 - 06:36:04 | batch update finished 
[SYS] 2025/04/22 - 06:36:06 | batch update started 
[SYS] 2025/04/22 - 06:36:06 | batch update finished 
[SYS] 2025/04/22 - 06:36:11 | syncing channels from database 
[SYS] 2025/04/22 - 06:36:11 | channels synced from database 
[SYS] 2025/04/22 - 06:36:11 | syncing options from database 
[SYS] 2025/04/22 - 06:36:11 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:36:11 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:36:11 | batch update started 
[SYS] 2025/04/22 - 06:36:11 | batch update finished 
[SYS] 2025/04/22 - 06:36:16 | batch update started 
[SYS] 2025/04/22 - 06:36:16 | batch update finished 
[SYS] 2025/04/22 - 06:36:21 | batch update started 
[SYS] 2025/04/22 - 06:36:21 | batch update finished 
[SYS] 2025/04/22 - 06:36:26 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:36:26 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:36:26 | batch update started 
[SYS] 2025/04/22 - 06:36:26 | batch update finished 
[SYS] 2025/04/22 - 06:36:30 | batch update started 
[SYS] 2025/04/22 - 06:36:30 | batch update finished 
[SYS] 2025/04/22 - 06:36:34 | batch update started 
[SYS] 2025/04/22 - 06:36:34 | batch update finished 
[SYS] 2025/04/22 - 06:36:39 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:36:39 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:36:39 | batch update started 
[SYS] 2025/04/22 - 06:36:39 | batch update finished 
[SYS] 2025/04/22 - 06:36:44 | batch update started 
[SYS] 2025/04/22 - 06:36:44 | batch update finished 
[SYS] 2025/04/22 - 06:36:49 | batch update started 
