[SYS] 2025/03/30 - 21:15:14 | New API v0.0.0 started 
[SYS] 2025/03/30 - 21:15:14 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:14 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | database migrated 
[SYS] 2025/03/30 - 21:15:15 | using MySQL as database 
[SYS] 2025/03/30 - 21:15:15 | database migration started 
[SYS] 2025/03/30 - 21:15:15 | Redis is enabled 
[SYS] 2025/03/30 - 21:15:15 | memory cache enabled 
[SYS] 2025/03/30 - 21:15:15 | sync frequency: 60 seconds 
[SYS] 2025/03/30 - 21:15:15 | channels synced from database 
[SYS] 2025/03/30 - 21:15:15 | batch update enabled with interval 5s 
[SYS] 2025/03/30 - 21:15:15 | pprof enabled 
[SYS] 2025/03/30 - 21:15:15 | initializing token encoders 
[SYS] 2025/03/30 - 21:15:15 | 正在更新数据看板数据... 
[SYS] 2025/03/30 - 21:15:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/30 - 21:15:15 | token encoders initialized 
[SYS] 2025/03/30 - 21:15:15 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/30 - 21:15:20 | batch update started 
[SYS] 2025/03/30 - 21:15:20 | batch update finished 
[SYS] 2025/03/30 - 21:15:25 | batch update started 
[SYS] 2025/03/30 - 21:15:25 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询开始 
[SYS] 2025/03/30 - 21:15:30 | batch update started 
[SYS] 2025/03/30 - 21:15:30 | batch update finished 
[SYS] 2025/03/30 - 21:15:30 | 任务进度轮询完成 
[GIN] 2025/03/30 - 21:15:32 | 20250330211532608099589B699yRsv | 200 |  185.698284ms |             ::1 |     GET /api/home_page_content
[SYS] 2025/03/30 - 21:15:32 | batch update started 
[SYS] 2025/03/30 - 21:15:32 | batch update finished 
[GIN] 2025/03/30 - 21:15:33 | 20250330211532607943914XozAFE3D | 200 |   502.87315ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 2025033021153378814747uib0sjbk | 200 |   92.707875ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:33 | 202503302115331893594895G11h55v | 200 |    1.109658ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533209328247nMbwiqiv | 200 |      1.2961ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 202503302115332114787723pZHsfqd | 200 |    2.513875ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533216645514V2eCcSHE | 200 |    1.008259ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533224083139FOSVgICo | 200 |    1.137825ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533232289280VvXc8hiN | 200 |    1.077592ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533236471164bsjMYqS5 | 200 |     753.784µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533225068647KiXSQYNQ | 200 |    132.8691ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533422240297v8xcGmo4 | 200 |     784.117µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533434952672Wbv4bx6o | 200 |    1.023533ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:33 | 20250330211533485093456zIpFjrgn | 200 |    1.552633ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:33 | 20250330211533706598939YZn8IjKg | 200 |     975.108µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 202503302115337554476310tVJzXGy | 200 |     9.72595ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:33 | 20250330211533706873781PLGC20G3 | 200 |  201.247259ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534894456PcMCN8Br | 200 |     742.842µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 202503302115344900406CKolheHv | 200 |     672.858µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534254859061Qjl6ETw | 200 |    1.195675ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534143353547ynp5H1pT | 200 |    2.391458ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534143129189A4FlmNVa | 200 |    2.592525ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534143619289RZEUhgZP | 200 |    3.211866ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534267612530bDIUCwoZ | 200 |      814.45µs |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534268247364yA4DyVih | 200 |      1.3416ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534321469472DEhFS4YX | 200 |    2.315517ms |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 20250330211534321716255U062ysGI | 200 |    2.442267ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534321987955Q00XUnDc | 200 |    2.330792ms |             ::1 |     GET /api/notice
[GIN] 2025/03/30 - 21:15:34 | 20250330211534339577822UlkNnuK0 | 200 |     756.275µs |             ::1 |     GET /api/home_page_content
[GIN] 2025/03/30 - 21:15:34 | 202503302115343466953226R59tUlS | 200 |    1.127642ms |             ::1 |     GET /api/home_page_content
